t,i,temp_desired,temp_tc,temp_therm
1681775875.3538334,25.16325550331497,0.3602854217591045,24.7412681(1015.52826, 18.466180253936358)
1681775880.3594484,25.24669539385859,0.3947640768773781,24.779129(1015.70978, 18.527205406194597)
1681775885.3642988,25.330304827827455,0.4111621391077306,24.8538417(1015.89258, 18.588655648168057)
1681775890.3634875,25.413652641115824,0.42397798557292876,24.9355354(1016.10052, 18.65855059645995)
1681775895.4458203,25.498096508322398,0.43045643328481586,25.0306873(1016.3363, 18.737795197933636)
1681775900.401675,25.580704504786173,0.4259666122868163,25.1439094(1016.57928, 18.81945055433538)
1681775905.4088268,25.66417153928502,0.41792856508372345,25.263544(1016.83289, 18.904668322580648)
1681775910.423851,25.74771261069997,0.4049957010586961,25.3907966(1017.12, 19.001130546466833)
1681775915.4090104,25.831072273391722,0.39784428923936527,25.504774(1017.41724, 19.10098259137698)
1681775920.4383862,25.914711461999257,0.3714865511990437,25.6542358(1017.73315, 19.20709127868753)
1681775925.4373028,25.998004633722942,0.35172460841725883,25.7875423(1018.06238, 19.317657280375315)
1681775930.4448295,26.08142202947362,0.3280540809237977,25.9260921(1018.38202, 19.42498640841395)
1681775935.4452305,26.164742500124614,0.29104280625240936,26.0873069(1018.71997, 19.538446294553793)
1681775940.4438055,26.24825285925293,0.26384264479789044,26.2263145(1019.06958, 19.655801981409024)
1681775945.4508402,26.331747868198395,0.23021493950569605,26.3749008(1019.40656, 19.76889998531014)
1681775950.4700782,26.415203561920165,0.20265905041458482,26.508789(1019.7522, 19.884886034473556)
1681775955.4658408,26.498655429023742,0.17456487509428564,26.6412754(1020.09875, 20.001158708659826)
1681775960.5242643,26.582960389592486,0.1524973779762655,26.7607173(1020.4234, 20.110066589663308)
1681775965.4888446,26.665680260000865,0.14078464501564977,26.8573665(1020.73584, 20.21486293595501)
1681775970.4907517,26.749052272775014,0.13558047995754557,26.9414958(1021.03119, 20.313913072280155)
